HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF0A,FF0B,"FF0B -> FF0A",A1081E7709CF4F3C,1,0,[FF03],[AA01],[],737
FF01,FF0B,"FF0B -> FF01",AA081E7709CF4F3C,0,0,[FF02],[],[],681
FF03,FF0A,"FF0B -> FF0A -> FF03",A8081F7709CF4F3C,0,0,[],[],[],747
FF02,FF01,"FF0B -> FF01 -> FF02",A908147709CF4F3C,0,0,[FF09],[],[],693
FF09,FF02,"FF0B -> FF01 -> FF02 -> FF09",A208177709CF4F3C,0,0,[FF04],[],[],705
AA01,FF0A,"FF0B -> FF0A -> AA01",,0,0,[],[],[],219
FF04,FF09,"FF0B -> FF01 -> FF02 -> FF09 -> FF04",AF081C7709CF4F3C,0,0,[FF07],[],[],543
FF07,FF04,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07",AC08117709CF4F3C,0,0,[FF06],[],[],717
FF0D,FF06,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07 -> FF06 -> FF0D",A608137709CF4F3C,0,1,[FF0C],[],[],663
FF0C,FF0D,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07 -> FF06 -> FF0D -> FF0C",A708187709CF4F3C,0,2,[FF05],[],[],597
FF08,FF05,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07 -> FF06 -> FF0D -> FF0C -> FF05 -> FF08",A308107709CF4F3C,0,0,[],[],[],621
FF05,FF0C,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07 -> FF06 -> FF0D -> FF0C -> FF05",AE08197709CF4F3C,0,1,[FF08],[],[],489
FF06,FF07,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07 -> FF06",AD08127709CF4F3C,0,1,[FF0D],[],[],729
