ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
24,0018,FF02,3,48,405
67,0043,FF02,4,49,381
71,0047,FF02,2,59,435
65020,FDFC,FF02,4,8,257
40179,9CF3,FF02,2,65161,65533
511,01FF,FF02,6,515,257
257,0101,FF04,1,10,259
50,0032,FF02,2,20,25355
65276,FEFC,FF02,7,65278,65024
357,0165,FF02,1,25356,50
259,0103,FF04,1,65477,65278
65022,FDFE,FF02,3,65163,65518
65278,FEFE,FF02,1,65176,65515
40180,9CF4,FF02,5,65119,65515
6,0006,FF02,1,52,376
60,003C,FF02,1,75,25356
48,0030,FF02,12,47,379
47,002F,FF02,12,51,378
77,004D,FF02,11,96,431
74,004A,FF02,8,48,360
63484,F7FC,FF02,3,48,25352
65253,FEE5,FF02,3,74,25348
234,00EA,FF02,9,47,25351
235,00EB,FF02,21,65136,65528
64508,FBFC,FF02,1,8,257
40181,9CF5,FF02,1,65157,65465
61,003D,FF02,1,75,25356
63996,F9FC,FF02,2,48,25352
486,01E6,FF04,1,65169,65522
231,00E7,FF04,1,65165,65474
40190,9CFE,FF04,2,257,511
236,00EC,FF02,1,65140,65455
374,0176,FF02,1,25354,55
380,017C,FF02,1,25356,52
57,0039,FF02,5,45,25360
40189,9CFD,FF02,1,65120,65459
46,002E,FF02,1,20,25355
53,0035,FF02,2,45,25360
75,004B,FF02,5,53,370
1539,0603,FF04,1,65449,64254
63740,F8FC,FF02,1,65278,65024
64252,FAFC,FF02,1,379,48
25574,63E6,FF02,4,381,77
44,002C,FF02,3,76,457
79,004F,FF02,3,47,441
40186,9CFA,FF02,1,65118,65516
64766,FCFE,FF02,1,65117,65518
515,0203,FF04,1,465,82
52,0034,FF02,1,45,25360
59,003B,FF02,1,20,25355
