Feature,Importance
ReportedRSSI,0.1981791968264529
SelfReportedBattery,0.1834640768085404
ActiveSensorsRatio,0.14257920143932892
TrustScore,0.11248345785654056
ReportingGap,0.10426072533959391
CHRatio,0.08867877263358726
ReportsReceived,0.07806062436040201
ExpectedReportRatio,0.07537531118749623
RerouteCount,0.009796208862819842
NodeType_SENSOR,0.0037154870280030807
NodeType_GWN,0.0020525893389813127
HopCount,0.0008448412280451748
NodeType_CH,0.0005095022628130877
RekeyEvent,4.827395258082917e-09
AnomalyCount,0.0
