Feature,Importance
ReportedRSSI,0.18628160381659348
SelfReportedBattery,0.16175236380580324
ReportingGap,0.13813753762183473
ActiveSensorsRatio,0.1361186469759888
CHRatio,0.13340101142795158
TrustScore,0.09773207842206283
ReportsReceived,0.06962609432565596
ExpectedReportRatio,0.06623668964299215
RerouteCount,0.005579032011435712
HopCount,0.002601710140854254
NodeType_SENSOR,0.001934104959365205
NodeType_GWN,0.0005533560447544692
NodeType_CH,4.5770804707498225e-05
RekeyEvent,1.152032796058902e-16
AnomalyCount,0.0
